,Unnamed: 0,Reservoir,Genbank.accession,NonBrCpG,agc,NonBrCpA,GGA.Bias,M.Bias,GCA.Bias,NonBrGpC,CpG,tga,E.Bias,aca,P.Bias,ctc,brGpC,AGT.Bias,K.Bias,tcg,NonBrUpU,brApU,C.Bias,ATA.Bias,tac,ApU,brGpU,L.Bias,Artiodactyl,Carnivore,Fish,Galloanserae,Insect,Neoaves,Plant,Primate,Pterobat,Rodent,Vespbat,CatBoost25
0,2,0,MZ411658.1,0.324693966239574,0.0719459103673651,1.2857649444291201,0.19381688466111802,0.0220338983050847,0.274974253347065,1.29085649992806,0.38089706657846795,0.150106417643539,0.0478813559322034,0.19289152713110802,0.0390536723163842,0.0678825200808362,0.704881366890117,0.24686192468619297,0.0593926553672316,0.027299406824316,1.07982082203549,0.46990106397438797,0.0306497175141243,0.30653950953678494,0.14604302735701,0.791527516131864,0.523150887107601,0.0963276836158192,0.0,0,0,0,0,0,0,0.19037160780832,0.423242719127113,0,0.386385673064567,Pterobat
1,3,0,MZ436120.1,0.323236099767579,0.0719983239472799,1.28485323082034,0.19381688466111802,0.0218467194570136,0.27347781217750305,1.28996983373503,0.37952966692911,0.15023650263665697,0.047935520361990995,0.19295550817871002,0.0388150452488688,0.0686384021630735,0.7017221770043389,0.246603970741902,0.0594598416289593,0.0274103591316925,1.07895502724205,0.470346294184521,0.0306843891402715,0.308423913043478,0.14639659202613597,0.7914620133400259,0.5257292437626621,0.0965073529411765,0.0,0,0,0,0,0,0,0.18969270799983698,0.421788685088276,0,0.388518606911887,Pterobat
2,4,0,MZ467310.1,0.32310251736844803,0.0719274322586491,1.28538325114043,0.19381688466111802,0.0218528995756718,0.273760330578512,1.28844562140792,0.37805099406487097,0.15056809152810502,0.0479490806223479,0.19348479277576602,0.0388967468175389,0.0680913025381878,0.703547734713151,0.246603970741902,0.0594059405940594,0.0271431650771225,1.08006642491073,0.470633923462289,0.0306930693069307,0.30653950953678494,0.14625244559258602,0.790541847857929,0.524975168255295,0.0963932107496464,0.0,0,0,0,0,0,0,0.19035366206274104,0.423316753750851,0,0.38632958418640795,Pterobat
3,5,0,MZ498767.1,0.32513290219582897,0.0726122580976306,1.28289858964728,0.19285714285714303,0.0220494699646643,0.271784232365145,1.2827431825233602,0.379593732527793,0.150754588831836,0.0480565371024735,0.193312104339387,0.0393639575971731,0.0687652510461005,0.709800147455682,0.24579831932773102,0.0592932862190813,0.0267383572152312,1.0805310618573198,0.472335708887418,0.0306713780918728,0.30684931506849294,0.145224516195261,0.7912311185137869,0.5198996748703629,0.0964664310954064,0.0,0,0,0,0,0,0,0.19052403162355497,0.423150498097271,0,0.386325470279174,Pterobat
4,6,0,MZ498771.1,0.32521763842262,0.0723762603426883,1.2833341483498102,0.19285714285714303,0.0220494699646643,0.272349272349272,1.2811004844854599,0.380351851001146,0.150763837989587,0.0480565371024735,0.19332396450339298,0.0393639575971731,0.0687694699601623,0.709800147455682,0.24554039874081898,0.0592932862190813,0.0267399976779581,1.08073620734791,0.473072018341387,0.0306713780918728,0.30684931506849294,0.145233426069713,0.791364684570251,0.519844577405879,0.0964664310954064,0.0,0,0,0,0,0,0,0.190525144494321,0.42314712865908705,0,0.38632772684659206,Pterobat
5,7,0,MZ500507.1,0.325210388588154,0.0721352508669337,1.28289858964728,0.19285714285714303,0.0219081272084806,0.272066458982347,1.28206040729129,0.38034337210076397,0.150762674311892,0.0480565371024735,0.19332247232338198,0.0393639575971731,0.0687689391598102,0.7059014435829308,0.24579831932773102,0.0591519434628975,0.0267397912840424,1.08021564740615,0.4722356059502801,0.0306713780918728,0.30684931506849294,0.14547275591498302,0.7911156271813521,0.519957463662769,0.0964664310954064,0.0,0,0,0,0,0,0,0.19050108499782398,0.423157913182651,0,0.38634100181952497,Pterobat
6,8,0,MZ512916.1,0.32224817736436495,0.0719423633442095,1.28577803333468,0.19381688466111802,0.0219881221719457,0.27347781217750305,1.28998424231089,0.378872697265822,0.150338028383747,0.047935520361990995,0.19288201733812999,0.0388150452488688,0.0678791733878921,0.7036782348350811,0.24686192468619297,0.0594598416289593,0.0272980609294952,1.07981198777318,0.47040356269714506,0.0306843891402715,0.30653950953678494,0.146035827253528,0.7912226595546741,0.523708072560861,0.0962952488687783,0.0,0,0,0,0,0,0,0.190366202282888,0.42322775440123106,0,0.386406043315881,Pterobat
7,9,0,MZ512948.1,0.32528791192274,0.072052984551131,1.28269627162336,0.19285714285714303,0.0220494699646643,0.27263267429760696,1.2823660235981598,0.38175270015879,0.150329814943888,0.0480565371024735,0.193417978462837,0.0393639575971731,0.0682229255716689,0.70581076579079,0.24579831932773102,0.0591519434628975,0.0268603856812458,1.08021564740615,0.472220855219604,0.0306713780918728,0.30684931506849294,0.14554224121956,0.791968302181822,0.520235798791404,0.0964664310954064,0.0,0,0,0,0,0,0,0.19052889810461104,0.42313016559095795,0,0.38634093630443,Pterobat
8,10,0,MZ512988.1,0.32153045039692496,0.0719476768129237,1.28404163835477,0.19331742243436803,0.0221273568125222,0.27338877338877304,1.2861218015876998,0.3768903566564,0.150588160771236,0.047812166488794,0.192896263083154,0.0386339381003202,0.0678841867603665,0.7085654348073851,0.24868282402529002,0.0594806118818926,0.0273000770905714,1.0770701492591501,0.469660442546279,0.0305940946282462,0.305898491083676,0.146285641892057,0.7924774113180659,0.5236009188045561,0.0964781216648879,0.0,0,0,0,0,0,0,0.19036478185817104,0.42329474923255295,0,0.386340468909276,Pterobat
9,11,0,MZ530308.1,0.326439479609539,0.0722160704178853,1.28116877003322,0.19285714285714303,0.0220494699646643,0.271502590673575,1.28399528646419,0.380623919564094,0.150690866938654,0.0480565371024735,0.19353906871993298,0.0392932862190813,0.068605266896991,0.7065629880484641,0.24554039874081898,0.0591519434628975,0.027010919176753,1.07976662503465,0.47271390687817894,0.030530035335689,0.30684931506849294,0.14563574200940196,0.7919861299933509,0.517997708952296,0.0964664310954064,0.0,0,0,0,0,0,0,0.19035002742795798,0.422825313087221,0,0.38682465948482103,Pterobat
